dgp,N,method,target,R_attempted,R_point,R_inference,success_count,retention_order_pass,inference_valid_iff_success_pass
2,50,selected_rank,A_G2_minus_G1_time_average,3,3,0,0,True,True
2,50,selected_rank,A_G2_time_average,3,3,0,0,True,True
2,50,selected_rank,A_entry,3,3,0,0,True,True
2,50,selected_rank,A_fixed_time_mean,3,3,0,0,True,True
2,50,selected_rank,A_full_mean,3,3,0,0,True,True
2,50,selected_rank,B_G1_fixed_time,3,3,0,0,True,True
2,50,selected_rank,B_G1_time_average,3,3,0,0,True,True
2,50,selected_rank,B_G2_fixed_time,3,3,0,0,True,True
2,50,selected_rank,B_G2_minus_G1_fixed_time,3,3,0,0,True,True
2,50,selected_rank,B_G2_minus_G1_time_average,3,3,0,0,True,True
2,50,selected_rank,B_G2_time_average,3,3,0,0,True,True
2,50,selected_rank,B_entry,3,3,0,0,True,True
2,50,selected_rank,B_fixed_time_mean,3,3,0,0,True,True
2,50,selected_rank,B_full_mean,3,3,0,0,True,True
2,100,fixed_rank,A_G1_fixed_time,3,3,3,3,True,True
2,100,fixed_rank,A_G1_time_average,3,3,3,3,True,True
2,100,fixed_rank,A_G2_fixed_time,3,3,3,3,True,True
2,100,fixed_rank,A_G2_minus_G1_fixed_time,3,3,3,3,True,True
2,100,fixed_rank,A_G2_minus_G1_time_average,3,3,3,3,True,True
2,100,fixed_rank,A_G2_time_average,3,3,3,3,True,True
2,100,fixed_rank,A_entry,3,3,3,3,True,True
2,100,fixed_rank,A_fixed_time_mean,3,3,3,3,True,True
2,100,fixed_rank,A_full_mean,3,3,3,3,True,True
2,100,fixed_rank,B_G1_fixed_time,3,3,3,3,True,True
2,100,fixed_rank,B_G1_time_average,3,3,3,3,True,True
2,100,fixed_rank,B_G2_fixed_time,3,3,3,3,True,True
2,100,fixed_rank,B_G2_minus_G1_fixed_time,3,3,3,3,True,True
2,100,fixed_rank,B_G2_minus_G1_time_average,3,3,3,3,True,True
2,100,fixed_rank,B_G2_time_average,3,3,3,3,True,True
2,100,fixed_rank,B_entry,3,3,3,3,True,True
2,100,fixed_rank,B_fixed_time_mean,3,3,3,3,True,True
2,100,fixed_rank,B_full_mean,3,3,3,3,True,True
2,100,selected_rank,A_G1_fixed_time,3,3,0,0,True,True
2,100,selected_rank,A_G1_time_average,3,3,0,0,True,True
2,100,selected_rank,A_G2_fixed_time,3,3,0,0,True,True
2,100,selected_rank,A_G2_minus_G1_fixed_time,3,3,0,0,True,True
2,100,selected_rank,A_G2_minus_G1_time_average,3,3,0,0,True,True
2,100,selected_rank,A_G2_time_average,3,3,0,0,True,True
2,100,selected_rank,A_entry,3,3,0,0,True,True
2,100,selected_rank,A_fixed_time_mean,3,3,0,0,True,True
2,100,selected_rank,A_full_mean,3,3,0,0,True,True
2,100,selected_rank,B_G1_fixed_time,3,3,0,0,True,True
2,100,selected_rank,B_G1_time_average,3,3,0,0,True,True
2,100,selected_rank,B_G2_fixed_time,3,3,0,0,True,True
2,100,selected_rank,B_G2_minus_G1_fixed_time,3,3,0,0,True,True
2,100,selected_rank,B_G2_minus_G1_time_average,3,3,0,0,True,True
2,100,selected_rank,B_G2_time_average,3,3,0,0,True,True
2,100,selected_rank,B_entry,3,3,0,0,True,True
2,100,selected_rank,B_fixed_time_mean,3,3,0,0,True,True
2,100,selected_rank,B_full_mean,3,3,0,0,True,True
3,50,fixed_rank,A_G1_fixed_time,3,1,1,1,True,True
3,50,fixed_rank,A_G1_time_average,3,1,0,0,True,True
3,50,fixed_rank,A_G2_fixed_time,3,1,1,1,True,True
3,50,fixed_rank,A_G2_minus_G1_fixed_time,3,1,1,1,True,True
3,50,fixed_rank,A_G2_minus_G1_time_average,3,1,0,0,True,True
3,50,fixed_rank,A_G2_time_average,3,1,0,0,True,True
3,50,fixed_rank,A_entry,3,1,1,1,True,True
3,50,fixed_rank,A_fixed_time_mean,3,1,1,1,True,True
3,50,fixed_rank,A_full_mean,3,1,0,0,True,True
3,50,fixed_rank,B_G1_fixed_time,3,1,1,1,True,True
3,50,fixed_rank,B_G1_time_average,3,1,0,0,True,True
3,50,fixed_rank,B_G2_fixed_time,3,1,1,1,True,True
3,50,fixed_rank,B_G2_minus_G1_fixed_time,3,1,1,1,True,True
3,50,fixed_rank,B_G2_minus_G1_time_average,3,1,0,0,True,True
3,50,fixed_rank,B_G2_time_average,3,1,0,0,True,True
3,50,fixed_rank,B_entry,3,1,1,1,True,True
3,50,fixed_rank,B_fixed_time_mean,3,1,1,1,True,True
3,50,fixed_rank,B_full_mean,3,1,0,0,True,True
3,50,selected_rank,A_G1_fixed_time,3,3,0,0,True,True
3,50,selected_rank,A_G1_time_average,3,3,0,0,True,True
3,50,selected_rank,A_G2_fixed_time,3,3,0,0,True,True
3,50,selected_rank,A_G2_minus_G1_fixed_time,3,3,0,0,True,True
3,50,selected_rank,A_G2_minus_G1_time_average,3,3,0,0,True,True
3,50,selected_rank,A_G2_time_average,3,3,0,0,True,True
3,50,selected_rank,A_entry,3,3,0,0,True,True
3,50,selected_rank,A_fixed_time_mean,3,3,0,0,True,True
3,50,selected_rank,A_full_mean,3,3,0,0,True,True
3,50,selected_rank,B_G1_fixed_time,3,3,0,0,True,True
3,50,selected_rank,B_G1_time_average,3,3,0,0,True,True
3,50,selected_rank,B_G2_fixed_time,3,3,0,0,True,True
3,50,selected_rank,B_G2_minus_G1_fixed_time,3,3,0,0,True,True
3,50,selected_rank,B_G2_minus_G1_time_average,3,3,0,0,True,True
3,50,selected_rank,B_G2_time_average,3,3,0,0,True,True
3,50,selected_rank,B_entry,3,3,0,0,True,True
3,50,selected_rank,B_fixed_time_mean,3,3,0,0,True,True
3,50,selected_rank,B_full_mean,3,3,0,0,True,True
3,100,fixed_rank,A_G1_fixed_time,3,3,3,3,True,True
3,100,fixed_rank,A_G1_time_average,3,3,3,3,True,True
3,100,fixed_rank,A_G2_fixed_time,3,3,3,3,True,True
3,100,fixed_rank,A_G2_minus_G1_fixed_time,3,3,3,3,True,True
3,100,fixed_rank,A_G2_minus_G1_time_average,3,3,3,3,True,True
3,100,fixed_rank,A_G2_time_average,3,3,3,3,True,True
3,100,fixed_rank,A_entry,3,3,3,3,True,True
3,100,fixed_rank,A_fixed_time_mean,3,3,3,3,True,True
3,100,fixed_rank,A_full_mean,3,3,3,3,True,True
3,100,fixed_rank,B_G1_fixed_time,3,3,3,3,True,True
3,100,fixed_rank,B_G1_time_average,3,3,3,3,True,True
3,100,fixed_rank,B_G2_fixed_time,3,3,3,3,True,True
3,100,fixed_rank,B_G2_minus_G1_fixed_time,3,3,3,3,True,True
3,100,fixed_rank,B_G2_minus_G1_time_average,3,3,3,3,True,True
3,100,fixed_rank,B_G2_time_average,3,3,3,3,True,True
3,100,fixed_rank,B_entry,3,3,3,3,True,True
3,100,fixed_rank,B_fixed_time_mean,3,3,3,3,True,True
3,100,fixed_rank,B_full_mean,3,3,3,3,True,True
3,100,selected_rank,A_G1_fixed_time,3,3,0,0,True,True
3,100,selected_rank,A_G1_time_average,3,3,0,0,True,True
3,100,selected_rank,A_G2_fixed_time,3,3,0,0,True,True
3,100,selected_rank,A_G2_minus_G1_fixed_time,3,3,0,0,True,True
3,100,selected_rank,A_G2_minus_G1_time_average,3,3,0,0,True,True
3,100,selected_rank,A_G2_time_average,3,3,0,0,True,True
3,100,selected_rank,A_entry,3,3,0,0,True,True
3,100,selected_rank,A_fixed_time_mean,3,3,0,0,True,True
3,100,selected_rank,A_full_mean,3,3,0,0,True,True
3,100,selected_rank,B_G1_fixed_time,3,3,0,0,True,True
3,100,selected_rank,B_G1_time_average,3,3,0,0,True,True
3,100,selected_rank,B_G2_fixed_time,3,3,0,0,True,True
3,100,selected_rank,B_G2_minus_G1_fixed_time,3,3,0,0,True,True
3,100,selected_rank,B_G2_minus_G1_time_average,3,3,0,0,True,True
3,100,selected_rank,B_G2_time_average,3,3,0,0,True,True
3,100,selected_rank,B_entry,3,3,0,0,True,True
3,100,selected_rank,B_fixed_time_mean,3,3,0,0,True,True
3,100,selected_rank,B_full_mean,3,3,0,0,True,True
4,50,fixed_rank,A_G1_fixed_time,3,2,2,2,True,True
4,50,fixed_rank,A_G1_time_average,3,2,0,0,True,True
4,50,fixed_rank,A_G2_fixed_time,3,2,2,2,True,True
4,50,fixed_rank,A_G2_minus_G1_fixed_time,3,2,2,2,True,True
4,50,fixed_rank,A_G2_minus_G1_time_average,3,2,0,0,True,True
4,50,fixed_rank,A_G2_time_average,3,2,0,0,True,True
4,50,fixed_rank,A_entry,3,2,2,2,True,True
4,50,fixed_rank,A_fixed_time_mean,3,2,2,2,True,True
4,50,fixed_rank,A_full_mean,3,2,0,0,True,True
4,50,fixed_rank,B_G1_fixed_time,3,2,2,2,True,True
4,50,fixed_rank,B_G1_time_average,3,2,0,0,True,True
4,50,fixed_rank,B_G2_fixed_time,3,2,2,2,True,True
4,50,fixed_rank,B_G2_minus_G1_fixed_time,3,2,2,2,True,True
4,50,fixed_rank,B_G2_minus_G1_time_average,3,2,0,0,True,True
4,50,fixed_rank,B_G2_time_average,3,2,0,0,True,True
4,50,fixed_rank,B_entry,3,2,2,2,True,True
4,50,fixed_rank,B_fixed_time_mean,3,2,2,2,True,True
4,50,fixed_rank,B_full_mean,3,2,0,0,True,True
4,50,selected_rank,A_G1_fixed_time,3,3,0,0,True,True
4,50,selected_rank,A_G1_time_average,3,3,0,0,True,True
4,50,selected_rank,A_G2_fixed_time,3,3,0,0,True,True
4,50,selected_rank,A_G2_minus_G1_fixed_time,3,3,0,0,True,True
4,50,selected_rank,A_G2_minus_G1_time_average,3,3,0,0,True,True
4,50,selected_rank,A_G2_time_average,3,3,0,0,True,True
4,50,selected_rank,A_entry,3,3,0,0,True,True
4,50,selected_rank,A_fixed_time_mean,3,3,0,0,True,True
4,50,selected_rank,A_full_mean,3,3,0,0,True,True
4,50,selected_rank,B_G1_fixed_time,3,3,0,0,True,True
4,50,selected_rank,B_G1_time_average,3,3,0,0,True,True
4,50,selected_rank,B_G2_fixed_time,3,3,0,0,True,True
4,50,selected_rank,B_G2_minus_G1_fixed_time,3,3,0,0,True,True
4,50,selected_rank,B_G2_minus_G1_time_average,3,3,0,0,True,True
4,50,selected_rank,B_G2_time_average,3,3,0,0,True,True
4,50,selected_rank,B_entry,3,3,0,0,True,True
4,50,selected_rank,B_fixed_time_mean,3,3,0,0,True,True
4,50,selected_rank,B_full_mean,3,3,0,0,True,True
4,100,fixed_rank,A_G1_fixed_time,3,3,3,3,True,True
4,100,fixed_rank,A_G1_time_average,3,3,3,3,True,True
4,100,fixed_rank,A_G2_fixed_time,3,3,3,3,True,True
4,100,fixed_rank,A_G2_minus_G1_fixed_time,3,3,3,3,True,True
4,100,fixed_rank,A_G2_minus_G1_time_average,3,3,3,3,True,True
4,100,fixed_rank,A_G2_time_average,3,3,3,3,True,True
4,100,fixed_rank,A_entry,3,3,3,3,True,True
4,100,fixed_rank,A_fixed_time_mean,3,3,3,3,True,True
4,100,fixed_rank,A_full_mean,3,3,3,3,True,True
4,100,fixed_rank,B_G1_fixed_time,3,3,3,3,True,True
4,100,fixed_rank,B_G1_time_average,3,3,3,3,True,True
4,100,fixed_rank,B_G2_fixed_time,3,3,3,3,True,True
4,100,fixed_rank,B_G2_minus_G1_fixed_time,3,3,3,3,True,True
4,100,fixed_rank,B_G2_minus_G1_time_average,3,3,3,3,True,True
4,100,fixed_rank,B_G2_time_average,3,3,3,3,True,True
4,100,fixed_rank,B_entry,3,3,3,3,True,True
4,100,fixed_rank,B_fixed_time_mean,3,3,3,3,True,True
4,100,fixed_rank,B_full_mean,3,3,3,3,True,True
4,100,selected_rank,A_G1_fixed_time,3,3,0,0,True,True
4,100,selected_rank,A_G1_time_average,3,3,0,0,True,True
4,100,selected_rank,A_G2_fixed_time,3,3,0,0,True,True
4,100,selected_rank,A_G2_minus_G1_fixed_time,3,3,0,0,True,True
4,100,selected_rank,A_G2_minus_G1_time_average,3,3,0,0,True,True
4,100,selected_rank,A_G2_time_average,3,3,0,0,True,True
4,100,selected_rank,A_entry,3,3,0,0,True,True
4,100,selected_rank,A_fixed_time_mean,3,3,0,0,True,True
4,100,selected_rank,A_full_mean,3,3,0,0,True,True
4,100,selected_rank,B_G1_fixed_time,3,3,0,0,True,True
4,100,selected_rank,B_G1_time_average,3,3,0,0,True,True
4,100,selected_rank,B_G2_fixed_time,3,3,0,0,True,True
4,100,selected_rank,B_G2_minus_G1_fixed_time,3,3,0,0,True,True
4,100,selected_rank,B_G2_minus_G1_time_average,3,3,0,0,True,True
4,100,selected_rank,B_G2_time_average,3,3,0,0,True,True
4,100,selected_rank,B_entry,3,3,0,0,True,True
4,100,selected_rank,B_fixed_time_mean,3,3,0,0,True,True
4,100,selected_rank,B_full_mean,3,3,0,0,True,True
