semantic_replication_id,dgp,N,T,replication,true_rank_vector,block,true_block_rank,diagnostic_status,lambda_1,lambda_2,lambda_3,lambda_4,R_0,R_1,R_2,R_3,selected_rank,minimum_ratio,second_smallest_ratio,ratio_gap
dgp1_N100_T200_r00002_truth1-1-1,1,100,200,2,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00002_truth1-1-1,1,100,200,2,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00002_truth1-1-1,1,100,200,2,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00000_truth2-1-1,1,100,200,0,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00000_truth2-1-1,1,100,200,0,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00000_truth2-1-1,1,100,200,0,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00001_truth2-1-1,1,100,200,1,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00001_truth2-1-1,1,100,200,1,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00001_truth2-1-1,1,100,200,1,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00002_truth2-1-1,1,100,200,2,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00002_truth2-1-1,1,100,200,2,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N100_T200_r00002_truth2-1-1,1,100,200,2,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth1-0-2,1,200,100,0,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth1-0-2,1,200,100,0,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth1-0-2,1,200,100,0,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth1-0-2,1,200,100,1,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth1-0-2,1,200,100,1,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth1-0-2,1,200,100,1,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth1-0-2,1,200,100,2,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth1-0-2,1,200,100,2,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth1-0-2,1,200,100,2,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth1-1-1,1,200,100,0,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth1-1-1,1,200,100,0,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth1-1-1,1,200,100,0,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth1-1-1,1,200,100,1,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth1-1-1,1,200,100,1,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth1-1-1,1,200,100,1,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth1-1-1,1,200,100,2,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth1-1-1,1,200,100,2,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth1-1-1,1,200,100,2,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth2-1-1,1,200,100,0,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth2-1-1,1,200,100,0,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00000_truth2-1-1,1,200,100,0,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth2-1-1,1,200,100,1,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth2-1-1,1,200,100,1,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00001_truth2-1-1,1,200,100,1,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth2-1-1,1,200,100,2,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth2-1-1,1,200,100,2,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T100_r00002_truth2-1-1,1,200,100,2,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth1-0-2,1,200,200,0,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth1-0-2,1,200,200,0,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth1-0-2,1,200,200,0,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth1-0-2,1,200,200,1,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth1-0-2,1,200,200,1,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth1-0-2,1,200,200,1,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth1-0-2,1,200,200,2,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth1-0-2,1,200,200,2,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth1-0-2,1,200,200,2,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth1-1-1,1,200,200,0,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth1-1-1,1,200,200,0,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth1-1-1,1,200,200,0,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth1-1-1,1,200,200,1,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth1-1-1,1,200,200,1,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth1-1-1,1,200,200,1,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth1-1-1,1,200,200,2,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth1-1-1,1,200,200,2,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth1-1-1,1,200,200,2,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth2-1-1,1,200,200,0,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth2-1-1,1,200,200,0,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00000_truth2-1-1,1,200,200,0,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth2-1-1,1,200,200,1,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth2-1-1,1,200,200,1,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00001_truth2-1-1,1,200,200,1,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth2-1-1,1,200,200,2,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth2-1-1,1,200,200,2,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N200_T200_r00002_truth2-1-1,1,200,200,2,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,0,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,1,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,2,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth1-1-1,1,50,50,1,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth1-1-1,1,50,50,1,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth1-1-1,1,50,50,1,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,1,50,50,2,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,1,50,50,2,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,1,50,50,2,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth2-1-1,1,50,50,0,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth2-1-1,1,50,50,0,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00000_truth2-1-1,1,50,50,0,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth2-1-1,1,50,50,1,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth2-1-1,1,50,50,1,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00001_truth2-1-1,1,50,50,1,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth2-1-1,1,50,50,2,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth2-1-1,1,50,50,2,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth2-1-1,1,50,50,2,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth1-0-2,2,100,100,0,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth1-0-2,2,100,100,0,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth1-0-2,2,100,100,0,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth1-0-2,2,100,100,1,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth1-0-2,2,100,100,1,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth1-0-2,2,100,100,1,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth1-0-2,2,100,100,2,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth1-0-2,2,100,100,2,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth1-0-2,2,100,100,2,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth1-1-1,2,100,100,0,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth1-1-1,2,100,100,0,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth1-1-1,2,100,100,0,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth1-1-1,2,100,100,1,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth1-1-1,2,100,100,1,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth1-1-1,2,100,100,1,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth1-1-1,2,100,100,2,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth1-1-1,2,100,100,2,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth1-1-1,2,100,100,2,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth2-1-1,2,100,100,0,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth2-1-1,2,100,100,0,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00000_truth2-1-1,2,100,100,0,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth2-1-1,2,100,100,1,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth2-1-1,2,100,100,1,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00001_truth2-1-1,2,100,100,1,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth2-1-1,2,100,100,2,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth2-1-1,2,100,100,2,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T100_r00002_truth2-1-1,2,100,100,2,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth1-0-2,2,100,200,0,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth1-0-2,2,100,200,0,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth1-0-2,2,100,200,0,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth1-0-2,2,100,200,1,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth1-0-2,2,100,200,1,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth1-0-2,2,100,200,1,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth1-0-2,2,100,200,2,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth1-0-2,2,100,200,2,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth1-0-2,2,100,200,2,"(1,0,2)",H,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth1-1-1,2,100,200,0,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth1-1-1,2,100,200,0,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth1-1-1,2,100,200,0,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth1-1-1,2,100,200,1,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth1-1-1,2,100,200,1,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth1-1-1,2,100,200,1,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth1-1-1,2,100,200,2,"(1,1,1)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth1-1-1,2,100,200,2,"(1,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth1-1-1,2,100,200,2,"(1,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth2-1-1,2,100,200,0,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth2-1-1,2,100,200,0,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00000_truth2-1-1,2,100,200,0,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth2-1-1,2,100,200,1,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth2-1-1,2,100,200,1,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00001_truth2-1-1,2,100,200,1,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth2-1-1,2,100,200,2,"(2,1,1)",A,2,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth2-1-1,2,100,200,2,"(2,1,1)",B,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N100_T200_r00002_truth2-1-1,2,100,200,2,"(2,1,1)",H,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N200_T100_r00000_truth1-0-2,2,200,100,0,"(1,0,2)",A,1,not_reached_due_to_pilot_failure,,,,,,,,,,,,
dgp2_N200_T100_r00000_truth1-0-2,2,200,100,0,"(1,0,2)",B,0,not_reached_due_to_pilot_failure,,,,,,,,,,,,
