dgp,N,T,target,requested_replications,success_rate,any_failure_rate,full_riesz_nearly_singular_rate,split_gram_nearly_singular_rate,any_near_singularity_event_rate,rank_selection_failure_rate,other_failure_rate
2,100,100,B_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,100,100,B_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,100,100,B_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,100,100,B_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,100,100,B_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,100,100,B_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_G2_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,A_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_G2_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,50,50,B_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_G2_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,A_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_G2_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,100,100,B_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_G2_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,A_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_G2_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,50,50,B_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_G2_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,A_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_G2_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_G2_minus_G1_fixed_time,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_G2_minus_G1_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_G2_time_average,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_entry,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_fixed_time_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,100,100,B_full_mean,100,0.0,1.0,0.0,0.0,0.0,0.0,1.0
