semantic_replication_id,dgp,N,T,true_rank,replication,finite_start_count,box_feasible_start_count,constrained_fallback_start_count,boundary_active_start_count,any_boundary_active,selected_best_pilot_boundary_active,maximum_constraint_violation,maximum_coefficient_envelope_ratio,maximum_absolute_coefficient,B,literal_box_rejection
dgp1_N50_T50_r00000_truth2-1-1,1,50,50,"(2,1,1)",0,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,"(1,0,2)",1,3,3,3,2,True,False,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N50_T50_r00001_truth1-1-1,1,50,50,"(1,1,1)",1,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N50_T50_r00001_truth2-1-1,1,50,50,"(2,1,1)",1,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,"(1,0,2)",2,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N50_T50_r00002_truth1-1-1,1,50,50,"(1,1,1)",2,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp1_N50_T50_r00002_truth2-1-1,1,50,50,"(2,1,1)",2,3,3,2,2,True,True,3.552713678800501e-15,1.0000000000000004,10.000000000000004,10.0,False
dgp2_N100_T100_r00000_truth1-0-2,2,100,100,"(1,0,2)",0,3,3,1,1,True,False,0.0,1.0,10.0,10.0,False
dgp2_N100_T100_r00000_truth1-1-1,2,100,100,"(1,1,1)",0,3,3,3,3,True,True,0.0,1.0,10.0,10.0,False
dgp2_N100_T100_r00000_truth2-1-1,2,100,100,"(2,1,1)",0,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp2_N100_T100_r00001_truth1-0-2,2,100,100,"(1,0,2)",1,3,3,1,0,False,False,0.0,0.9744019697763102,9.744019697763102,10.0,False
dgp2_N100_T100_r00001_truth1-1-1,2,100,100,"(1,1,1)",1,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
dgp2_N100_T100_r00001_truth2-1-1,2,100,100,"(2,1,1)",1,3,3,1,0,False,False,0.0,0.5535803893588639,5.535803893588639,10.0,False
dgp2_N100_T100_r00002_truth1-0-2,2,100,100,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.9391689555047513,9.391689555047513,10.0,False
dgp2_N100_T100_r00002_truth1-1-1,2,100,100,"(1,1,1)",2,3,3,0,0,False,False,0.0,0.8675421811226551,8.67542181122655,10.0,False
dgp2_N100_T100_r00002_truth2-1-1,2,100,100,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.5565848415827707,5.565848415827706,10.0,False
dgp2_N100_T200_r00000_truth1-0-2,2,100,200,"(1,0,2)",0,3,3,0,0,False,False,0.0,0.9304873243742463,9.304873243742463,10.0,False
dgp2_N100_T200_r00000_truth1-1-1,2,100,200,"(1,1,1)",0,3,3,2,1,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp2_N100_T200_r00000_truth2-1-1,2,100,200,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.6701741127739064,6.701741127739064,10.0,False
dgp2_N100_T200_r00001_truth1-0-2,2,100,200,"(1,0,2)",1,3,3,2,2,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp2_N100_T200_r00001_truth1-1-1,2,100,200,"(1,1,1)",1,3,3,1,1,True,True,0.0,1.0,10.0,10.0,False
